vector_name,observations,avg_mean,avg_variance,max_evidence
change,354,0.7147332095235264,0.003624656811006666,324
clarity,395,0.8515492457763708,0.0034588419555206503,364
coherence,356,0.8447339082464684,0.003805763957849156,325
completion,476,0.8076577820538556,0.002912000388976104,446
context,624,0.8328365877749135,0.00238198393871037,593
density,342,0.7061348837473244,0.003740759643872084,312
do,381,0.833180476909787,0.0035754911428961473,350
engagement,456,0.865316251578287,0.0029422953527725327,435
impact,379,0.7866077918054862,0.0034044333523569727,350
know,653,0.8202463626857714,0.0023927249480900368,621
signal,354,0.8117756762446938,0.0036245914856617915,324
state,341,0.8360891676185002,0.00375078447929055,311
uncertainty,648,0.19142452877218794,0.002409928429177907,616
